iter	Passed	Remaining
0	4	221
1	7	190
2	10	187
3	14	188
4	19	198
5	26	216
6	31	214
7	35	207
8	40	207
9	46	209
10	63	252
11	71	255
12	77	249
13	82	241
14	87	234
15	91	223
16	95	213
17	99	204
18	104	197
19	109	190
20	112	181
21	115	173
22	118	164
23	120	156
24	124	149
25	126	141
26	129	134
27	133	128
28	135	121
29	138	115
30	141	109
31	144	104
32	149	99
33	154	95
34	158	90
35	162	85
36	164	80
37	168	75
38	170	70
39	175	65
40	179	61
41	182	56
42	185	51
43	188	47
44	190	42
45	194	38
46	198	33
47	201	29
48	205	25
49	209	20
50	213	16
51	219	12
52	222	8
53	226	4
54	229	0
